name,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,Birth Date,DoB Source,DoB Source URL,Death Date,DoD (P570) Source,DoD Source URL,Marriage Date,P26+P2562 Source,P26+P2562 Source URL,Source for Dates,Place of Birth (P19),PoB Source,PoB Source URL,Place of Death,Place of Death Source,Place of Death Source URL,Place of Residence,Place of Residence Source,Place of Residence Source URL,Source for Places,Occupation,Occupation Source,Occupation Source URL,Gender,LOD - WikiData,DoB Source LCCN,DoB Source Alt_LCCN,DoB Source OCLC,DoB Source Alt_OCLC,DoD (P570) Source LCCN,DoD (P570) Source Alt_LCCN,DoD (P570) Source OCLC,DoD (P570) Source Alt_OCLC,P26+P2562 Source LCCN,P26+P2562 Source Alt_LCCN,P26+P2562 Source OCLC,P26+P2562 Source Alt_OCLC,Source for Dates LCCN,Source for Dates Alt_LCCN,Source for Dates OCLC,Source for Dates Alt_OCLC,PoB Source LCCN,PoB Source Alt_LCCN,PoB Source OCLC,PoB Source Alt_OCLC,Place of Death Source LCCN,Place of Death Source Alt_LCCN,Place of Death Source OCLC,Place of Death Source Alt_OCLC,Place of Residence Source LCCN,Place of Residence Source Alt_LCCN,Place of Residence Source OCLC,Place of Residence Source Alt_OCLC,Source for Places LCCN,Source for Places Alt_LCCN,Source for Places OCLC,Source for Places Alt_OCLC,Occupation Source LCCN,Occupation Source Alt_LCCN,Occupation Source OCLC,Occupation Source Alt_OCLC
"Allred, Ellen",Alfred,,Ellin,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allred, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andriessen, Johan",Anderson; Andries; Andriesson; Andrison; Andrieszen,,Johannes; John; Jan,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andriessen, Pieter",Anderson; Andries; Andriesson; Andrison; Andrieszen,,Peter; Peder,,,,,,≤1726,,,,,,GAMEO,,,,"Duisburg, Germany?",,,,,,GAMEO,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,,,
"Anken, Hans",Ancken; Ankum,,Hannes; Hanß,,,1674-03-15,,,1743-01-01 00:00:00,,,ca. 1709; 1722-05-18,,,GAMEO,"Spiez, Niedersimmental, Bern, Switzerland",,,"Selwerd, Noorddijk, Groningen, Netherlands",,,"Groningen, Netherlands",,,GAMEO,Farmer; Preacher,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Anklam, Joachim Van",Ancklam; Eynde,,Joaquin; Joachem,,,,,,1755-05-20 00:00:00,,,,,,SAA,,,,"Amsterdam, Netherlands",,,"Amsterdam, Netherlands",,,GAMEO,Deacon,GAMEO,,Male,,,,,,,,,,,,,,96079739.0,['94137965'],28643298.0,['7053485'],,,,,,,,,,,,,,[],,[],,[],,[]
"Anna Sophia, Sachsen, Kurfürstin",,,,,Kurfürstin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apostool, Andries",Apostole; Apostol,,Andres; Andreas,,,1694-04-26 00:00:00,,,1784-06-25|presumably,,,,,,OpenArchieven,"Amsterdam, Netherlands",,,,,,"Amsterdam, Netherlands",,,OpenArchieven,Deacon,GAMEO,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Apostool, Pieter",Apostole; Apostol,,Peter; Peder,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,,Deacon,New Dutch Biographical Dictionary,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Arch, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arentsz, Meijndert",Arents; Arenz,,Meinhard; Myndert; Meinert,,,,,,,,,,,,,,,,,,,"Zaandam, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashburn, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashton, Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashton, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Askew, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Askew, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,servant,,Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.,Female,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atherton, Eleanor",,,Elinor; Elenor,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atherton, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atherton, Godfrey",,,,,,,,,1709-04-20 00:00:00,,,"1667-09-06 ;
1694-08-20","Marriage to Mary Sharrock Record, 1667 in Research folder; Marriage to Rebecca Penketh Record, 1694 in Research folder",,,"Bickerstaffe, Lancashire, England",,,"Bickerstaffe, Lancashire, England",Death record in Research folder,,"Bickerstaffe, Lancashire, England","Marriage Record, 1694 in Research folder",,,farmer,"marriage records refer to him as a ""yeoman""",,Male,,,,,,,,,,,[],,[],,,,,,,,,,[],,[],,[],,[],,,,,,,,
"Atherton, Nathaniel",,,,,,1657,,,1688-01-01 00:00:00,,http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf,,,,,,,,"Bickerstaffe, Lancashire, England",,http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf,"Bickerstaffe, Lancashire, England",,http://www.holytrinitybickerstaffe.co.uk/wp-content/uploads/2016/03/Bickerstaffe-New-Text-Quakers-1-PDF.pdf,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atkinson, James",Adkinson,,,,,,,,1711-01-01 00:00:00,The Atkinsons of New Jersey from the Records of Friends Meetings,https://www.seekingmyroots.com/members/files/G092.pdf,1684-01-01 00:00:00,The Atkinsons of New Jersey from the Records of Friends Meetings,https://www.seekingmyroots.com/members/files/G092.pdf,"The Atkinsons of New Jersey from the Records of Friends Meetings (Earlington, 1890)",,,,"Philadelphia, Pennsylvania",,,"Newton Township, Gloucester, New Jersey",The Atkinsons of New Jersey from the Records of Friends Meetings,https://www.seekingmyroots.com/members/files/G092.pdf,"The Atkinsons of New Jersey from the Records of Friends Meetings (Earlington, 1890)",,,,Male,,,,,,,[],17338820.0,[],,[],17338820.0,[],,,,,,,,,,,,,,[],17338820.0,[],,,,,,,,
"Auderton, Ellen",,,Ellin,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aylva, Cornelis Tjaards van ",Aijlva,Tjaerd; Tjaert,Cornelis,,Baron,1684-01-01 00:00:00,,,1745-11-23 00:00:00,,,1711-04-12 00:00:00,,https://allefriezen.nl/zoeken/deeds/d762c1fe-fdad-45c3-acf8-02c26b1cd255,Biogragisch portaal van nederland,"[Friesland, Netherlands]",,,"Hartwerd, Netherlands",,,"Hartwerd, Netherlands",,,AlleFriezen,Grietman; Co-Delegate of the States of Friesland,AlleFriezen,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,[],,[]
"Bachert, Georg Ernst",,,,,,before 1684-00-00,,https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst,after 1702-02-20,,https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst,,,,,,,,,,,,,,,Pastor,,https://archiv.francke-halle.de/hzeig.FAU?sid=BC17DEDE12&dm=1&dokref=1&indx=%23F211%23&auft=Bachert%2C+Georg+Ernst,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baker, Rachel",Backer; Bakker; Bunting,,,Baker,,1669,,,1731-01-01 00:00:00,,,,,,,"Hindley, West Derby, Lancashire",,,,,,"Philadelphia, Pennsylvania",,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baker, Rebecca",Backer; Bakker,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakker, Johannes De",Baker; Backer; Bakke,,Johan; John; Jan,,Doctor,1645|circa,GAMEO,"https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)",1720-04-15 00:00:00,,https://archief.amsterdam/indexen/deeds/8df6d971-6b04-47d4-9871-2a76d7f89bd1,,,,GAMEO,"Burtscheid, Germany",GAMEO,"https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)","Amsterdam, Netherlands",GAMEO,"https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)","Amsterdam, Netherlands",GAMEO,"https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)",GAMEO,Preacher; Doctor,GAMEO; GAMEO,"https://gameo.org/index.php?title=Bakker,_Johannes_de_(b._ca._1645)",Male,,,[],,[],,,,,,,,,,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,,,
"Banks, Anthony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banner, Lawrence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barber, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnsley, John",Barnsle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barrow, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barwick, Robert",,,,,,,,,1661-01-01 00:00:00,A Collection of Sufferings Vol. 2-Besse p. 100,https://archive.org/details/bim_eighteenth-century_a-collection-of-the-suff_besse-joseph_1753_2/page/100/mode/2up,,,,,,,,,,,,,,,,,,Male,,,,,,,[],,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bassnet, Elizabeth",basnet,,Eliz:,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bassnet, Richard",basnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastiaensz, Paulus",Bastian; Bastiaen; Bastiaansz,,Paulis; Paul,,,[≤1635],,,,,,,,,[Waterlands Archief],,,,,,,"Beverwijk, Netherlands",,,GAMEO,,,,Male,,,,,,,,,,,,,,,[],,[],,,,,,,,,,,,,,[],,[],,,,
"Battersby, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Battersby, Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bauer, Hans",Bower; Baur; Boer,,Hannes; Hanß,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baur, Ulli",Bower; Bauer; Boer,,Ulrich; Ulrike; Ulrig,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baylor, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayly, Henry",Bayley; Baily; Bailey,,,,,,,,1686-01-01 00:00:00,,,1667-11-11,,,,England,,,"Peterborough, Northamptonshire, England",,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayly, Lydia",Bayley; Baily; Bailey,,Lidea,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaumont, Simon Van",Beaumond,,Sijmon; Symon,,,1641-12,NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,1726-02-08 00:00:00,NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,1667-02-10,NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,New Dutch Biographical Dictionary,"The Hague, Netherlands",NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,"The Hague, Netherlands",NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,"The Hague, Netherlands",NNBW,https://resources.huygens.knaw.nl/retroboeken/nnbw/#source=1&page=140&accessor=accessor_index&view=imagePane,New Dutch Biographical Dictionary,Secretary,New Dutch Biographical Dictionary,,Male,,,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[],,[]
"Bechttel, Johan Jurg",Bekdel; Bächtel; Bechtold; Vechtel; Pritel; Bachtel; Bachteil; Bachstel; Bechtold; Böchtel; Baechtold,,Johannes; John; Jan; Jürg,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beek, Dirk Van",Beak; Bek; Biek; Beke; Beeck,,Dirck,,,,,,,,,1737-08-04 00:00:00,,,SAR,,,,,,,"Schiedam, Netherlands; Rotterdam, Netherlands",,,GAMEO,Teacher; Preacher,Gameo and SAR,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,
"Beek, Lenaert Van",Beak; Bek; Biek; Beke; Beeck,,Leonard; Lenaers; Lenirt; Lennert; Leendert,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beets, Cornelis",Bete; Beat,,Cornelius,,,,,,,,,,,,,,,,,,,"Amsterdam, Netherlands",,,,Deacon,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beets, Jan",Bete; Beat,,Johannes; Johan; John,,,,,,,,,,,,,,,,,,,"[Hoorn, Netherlands]; [Hamburg, Germany]",,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, Philip",,,,,Priest,,,,,,,,,,,,,,,,,,,,,Priest,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benson, Francis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benson, William",,,,,esquire,c. 1814,,https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf,c. 1849,,https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf,1847-02-25 00:00:00,,http://www.pennyghael.org.uk/Binns.pdf,,"Ulverston, Cumbria, England",,https://search.findmypast.com/record?id=TNA%2FRG6%2F0875%2F0%2F0028&parentid=TNA%2FRG6%2FBAP%2F1568165,"Manchester, England",,https://www.findmypast.com/transcript?id=IRE%2FQUAKER%2FPERIODICALS%2FDEATHS%2F008083&tab=this,,,,,solicitor; editor of the British Friend,,https://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2055-1/dissemination/pdf/Article_Level_Pdf/tcwaas/002/1910/vol10/tcwaas_002_1910_vol10_0020.pdf,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berndes, Balthasar",,,,,,,,,1728-03-25 00:00:00,https://www.openarchieven.nl/saa:72a45bbe-ff9a-4c4b-9322-1032c7072868/en,,,,,,,,,"Amsterdam, Netherlands",https://www.openarchieven.nl/saa:72a45bbe-ff9a-4c4b-9322-1032c7072868/en,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bestevader, Jacob",Bestevaar; Bester; Besterd; Bestvater,,Jakob; Jacop; Jakop,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beuns, Frans",Bruns; Brown,,Franz; Franß,,,,,,,,,,,,,,,,,,,,,,,Minister,GAMEO,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[]
"Biberach, Magistrate Of",,,,,Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bickley, William",Bickly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biddle, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biddle, William",,,Wm,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biles, Charles",,,,,,,,,,,,,,,,,,,,,,"Burlington, New Jersey",,,https://www.jstor.org/stable/20086011,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biles, George",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biles, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billingsley, Francis",Ballinglay,,Frances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birch, Henry",Burch; Byrch,,,,,,,,,,,,,,,,,,,,,"Bridgetown, Barbados",The Quaker Community on Barbados-Gragg p.77,https://archive.org/details/quakercommunityo00grag_0/mode/2up,,Physician,The Quaker Community on Barbados-Gragg p.77,https://archive.org/details/quakercommunityo00grag_0/mode/2up,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,[],,,,,,[],,[]
"Birchall, Jeffery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birkett, Jane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bispham, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
